"ID","ResponseId","mock_crime","sequence","crime_order","style","interviewer","st_1_conf","st_2_conf","st_3_conf","st_4_conf","st_1_reinf","st_2_reinf","st_3_reinf","confidence","motivation","interview_qual","interviewer_qual","self_assessment","age","gender","StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","meta_Browser","meta_Version","meta_Operating System","meta_Resolution","consent","PID","entrance","pass_1","timing_mc2b_First Click","timing_mc2b_Last Click","timing_mc2b_Page Submit","timing_mc2b_Click Count","attention_b1","attention_b2","pass_2","timing_mc2a_First Click","timing_mc2a_Last Click","timing_mc2a_Page Submit","timing_mc2a_Click Count","pass_3","exit","attention_a1","attention_a2","pass_4","interview_statements_1","interview_statements_2","interview_statements_3","interview_statements_4","knowledge_before","new_info","strategy","strategy_free","change_strategy
","change_strategy_free","interview_adj_1","interview_adj_2","interview_adj_3","interview_adj_4","interview_adj_5","interview_adj_6","interviewer_adj_1","interviewer_adj_2","interviewer_adj_3","interviewer_adj_4","interviewer_adj_5","interviewer_adj_6","engagement","cond","interview_adj_2_R","interview_adj_4_R","interviewer_adj_2_R","interviewer_adj_3_R","interviewer_adj_6_R","time","detail","after","treatment"
2,"a","MC_1","A B","MC_1 A B","reinforcement","M",NA,NA,NA,NA,NA,NA,NA,5,6,2.66666666666667,4,2.75,4,4,2021-06-24 17:13:59,2021-06-24 17:13:59,2,NA,100,0,1,2021-06-24 17:13:59,NA,NA,NA,NA,57.6441955566406,11.9331970214844,"test",NA,"convallis","venenatis","tincidunt","elementum",1,"Dignissim, neque neque wisi ac volutpat ullamcorper dolor montes phasellus.",2,"Wisi placerat? Rhoncus fermentum atque ultrices. Enim sollicitudin tempora amet aenean elementum egestas magna.",5.65,8.99,9.69,16,3,2,"Dolor? Per praesent cursus. Porta per quis fringilla a etiam pharetra. Ultrices.",7.45,7.87,7.49,19,"Potenti? Eros aliquam sodales rutrum amet lectus. Auctor donec ante.",1,2,1,"Pretium. Ut. Aenean luctus metus aenean odio platea pede. Nullam pellentesque.",3,2,5,1,2,4,2,"A. Luctus tellus velit rutrum? Maecenas vehicula nullam, consequat quis ipsum.",2,"Ridiculus facilisi placerat integer id! Facilisi magnis bibendum. Placerat dui tellus neque non vulputate.",2,1,1,2,2,2,5,1,1,5,2,4,7,"MC2B",5,4,5,5,2,1,2,0,0
2,"a","MC_1","A B","MC_1 A B","reinforcement","M",NA,NA,NA,NA,NA,NA,NA,5,6,2.66666666666667,4,2.75,4,4,2021-06-24 17:13:59,2021-06-24 17:13:59,2,NA,100,0,1,2021-06-24 17:13:59,NA,NA,NA,NA,57.6441955566406,11.9331970214844,"test",NA,"convallis","venenatis","tincidunt","elementum",1,"Dignissim, neque neque wisi ac volutpat ullamcorper dolor montes phasellus.",2,"Wisi placerat? Rhoncus fermentum atque ultrices. Enim sollicitudin tempora amet aenean elementum egestas magna.",5.65,8.99,9.69,16,3,2,"Dolor? Per praesent cursus. Porta per quis fringilla a etiam pharetra. Ultrices.",7.45,7.87,7.49,19,"Potenti? Eros aliquam sodales rutrum amet lectus. Auctor donec ante.",1,2,1,"Pretium. Ut. Aenean luctus metus aenean odio platea pede. Nullam pellentesque.",3,2,5,1,2,4,2,"A. Luctus tellus velit rutrum? Maecenas vehicula nullam, consequat quis ipsum.",2,"Ridiculus facilisi placerat integer id! Facilisi magnis bibendum. Placerat dui tellus neque non vulputate.",2,1,1,2,2,2,5,1,1,5,2,4,7,"MC2B",5,4,5,5,2,2,2,0,0
2,"a","MC_1","A B","MC_1 A B","reinforcement","M",NA,NA,NA,NA,NA,NA,NA,5,6,2.66666666666667,4,2.75,4,4,2021-06-24 17:13:59,2021-06-24 17:13:59,2,NA,100,0,1,2021-06-24 17:13:59,NA,NA,NA,NA,57.6441955566406,11.9331970214844,"test",NA,"convallis","venenatis","tincidunt","elementum",1,"Dignissim, neque neque wisi ac volutpat ullamcorper dolor montes phasellus.",2,"Wisi placerat? Rhoncus fermentum atque ultrices. Enim sollicitudin tempora amet aenean elementum egestas magna.",5.65,8.99,9.69,16,3,2,"Dolor? Per praesent cursus. Porta per quis fringilla a etiam pharetra. Ultrices.",7.45,7.87,7.49,19,"Potenti? Eros aliquam sodales rutrum amet lectus. Auctor donec ante.",1,2,1,"Pretium. Ut. Aenean luctus metus aenean odio platea pede. Nullam pellentesque.",3,2,5,1,2,4,2,"A. Luctus tellus velit rutrum? Maecenas vehicula nullam, consequat quis ipsum.",2,"Ridiculus facilisi placerat integer id! Facilisi magnis bibendum. Placerat dui tellus neque non vulputate.",2,1,1,2,2,2,5,1,1,5,2,4,7,"MC2B",5,4,5,5,2,3,2,0,0
2,"a","MC_1","A B","MC_1 A B","reinforcement","M",NA,NA,NA,NA,NA,NA,NA,5,6,2.66666666666667,4,2.75,4,4,2021-06-24 17:13:59,2021-06-24 17:13:59,2,NA,100,0,1,2021-06-24 17:13:59,NA,NA,NA,NA,57.6441955566406,11.9331970214844,"test",NA,"convallis","venenatis","tincidunt","elementum",1,"Dignissim, neque neque wisi ac volutpat ullamcorper dolor montes phasellus.",2,"Wisi placerat? Rhoncus fermentum atque ultrices. Enim sollicitudin tempora amet aenean elementum egestas magna.",5.65,8.99,9.69,16,3,2,"Dolor? Per praesent cursus. Porta per quis fringilla a etiam pharetra. Ultrices.",7.45,7.87,7.49,19,"Potenti? Eros aliquam sodales rutrum amet lectus. Auctor donec ante.",1,2,1,"Pretium. Ut. Aenean luctus metus aenean odio platea pede. Nullam pellentesque.",3,2,5,1,2,4,2,"A. Luctus tellus velit rutrum? Maecenas vehicula nullam, consequat quis ipsum.",2,"Ridiculus facilisi placerat integer id! Facilisi magnis bibendum. Placerat dui tellus neque non vulputate.",2,1,1,2,2,2,5,1,1,5,2,4,7,"MC2B",5,4,5,5,2,4,2,1,1
2,"a","MC_1","A B","MC_1 A B","reinforcement","M",NA,NA,NA,NA,NA,NA,NA,5,6,2.66666666666667,4,2.75,4,4,2021-06-24 17:13:59,2021-06-24 17:13:59,2,NA,100,0,1,2021-06-24 17:13:59,NA,NA,NA,NA,57.6441955566406,11.9331970214844,"test",NA,"convallis","venenatis","tincidunt","elementum",1,"Dignissim, neque neque wisi ac volutpat ullamcorper dolor montes phasellus.",2,"Wisi placerat? Rhoncus fermentum atque ultrices. Enim sollicitudin tempora amet aenean elementum egestas magna.",5.65,8.99,9.69,16,3,2,"Dolor? Per praesent cursus. Porta per quis fringilla a etiam pharetra. Ultrices.",7.45,7.87,7.49,19,"Potenti? Eros aliquam sodales rutrum amet lectus. Auctor donec ante.",1,2,1,"Pretium. Ut. Aenean luctus metus aenean odio platea pede. Nullam pellentesque.",3,2,5,1,2,4,2,"A. Luctus tellus velit rutrum? Maecenas vehicula nullam, consequat quis ipsum.",2,"Ridiculus facilisi placerat integer id! Facilisi magnis bibendum. Placerat dui tellus neque non vulputate.",2,1,1,2,2,2,5,1,1,5,2,4,7,"MC2B",5,4,5,5,2,5,2,2,1
2,"a","MC_1","A B","MC_1 A B","reinforcement","M",NA,NA,NA,NA,NA,NA,NA,5,6,2.66666666666667,4,2.75,4,4,2021-06-24 17:13:59,2021-06-24 17:13:59,2,NA,100,0,1,2021-06-24 17:13:59,NA,NA,NA,NA,57.6441955566406,11.9331970214844,"test",NA,"convallis","venenatis","tincidunt","elementum",1,"Dignissim, neque neque wisi ac volutpat ullamcorper dolor montes phasellus.",2,"Wisi placerat? Rhoncus fermentum atque ultrices. Enim sollicitudin tempora amet aenean elementum egestas magna.",5.65,8.99,9.69,16,3,2,"Dolor? Per praesent cursus. Porta per quis fringilla a etiam pharetra. Ultrices.",7.45,7.87,7.49,19,"Potenti? Eros aliquam sodales rutrum amet lectus. Auctor donec ante.",1,2,1,"Pretium. Ut. Aenean luctus metus aenean odio platea pede. Nullam pellentesque.",3,2,5,1,2,4,2,"A. Luctus tellus velit rutrum? Maecenas vehicula nullam, consequat quis ipsum.",2,"Ridiculus facilisi placerat integer id! Facilisi magnis bibendum. Placerat dui tellus neque non vulputate.",2,1,1,2,2,2,5,1,1,5,2,4,7,"MC2B",5,4,5,5,2,6,2,3,1
28,"aa","MC_1","A B","MC_1 A B","reinforcement",NA,NA,NA,NA,NA,NA,NA,NA,6,7,3.16666666666667,2.5,3.5,8,2,2021-06-24 17:13:59,2021-06-24 17:13:59,2,NA,100,0,1,2021-06-24 17:13:59,NA,NA,NA,NA,57.6441955566406,11.9331970214844,"test",NA,"ultricies","vestibulum","consequat","malesuada",1,"Eu. Vestibulum! Ut rhoncus malesuada sodales placerat, ridiculus aenean magnis fringilla imperdiet atque et placerat.",1,"Platea accumsan dui interdum maecenas cursus. Tortor quam molestie interdum maecenas.",0.15,6.26,7.62,21,2,2,"Lacus consequat rhoncus dapibus? Potenti. Ultricies ab. Aliquam odio cursus per turpis. Eros vitae.",3.43,7.85,5.83,12,"At odio. Laoreet aliquam diam? Cras rutrum et fringilla lacus! Nec pharetra.",2,1,3,"Sed laoreet nullam. Ligula venenatis facilisis? Rhoncus laoreet? Nec faucibus blandit.",3,5,2,4,1,6,1,"Eleifend tortor integer arcu nullam iaculis primis. Nunc per! Accumsan? Proin rhoncus, primis.",1,"Vel, laoreet, natoque. Ab et? Metus orci aenean. Ac, purus ante arcu.",3,2,4,3,3,2,3,5,4,3,2,2,5,"MC2B",4,3,1,2,4,1,4,0,0
28,"aa","MC_1","A B","MC_1 A B","reinforcement",NA,NA,NA,NA,NA,NA,NA,NA,6,7,3.16666666666667,2.5,3.5,8,2,2021-06-24 17:13:59,2021-06-24 17:13:59,2,NA,100,0,1,2021-06-24 17:13:59,NA,NA,NA,NA,57.6441955566406,11.9331970214844,"test",NA,"ultricies","vestibulum","consequat","malesuada",1,"Eu. Vestibulum! Ut rhoncus malesuada sodales placerat, ridiculus aenean magnis fringilla imperdiet atque et placerat.",1,"Platea accumsan dui interdum maecenas cursus. Tortor quam molestie interdum maecenas.",0.15,6.26,7.62,21,2,2,"Lacus consequat rhoncus dapibus? Potenti. Ultricies ab. Aliquam odio cursus per turpis. Eros vitae.",3.43,7.85,5.83,12,"At odio. Laoreet aliquam diam? Cras rutrum et fringilla lacus! Nec pharetra.",2,1,3,"Sed laoreet nullam. Ligula venenatis facilisis? Rhoncus laoreet? Nec faucibus blandit.",3,5,2,4,1,6,1,"Eleifend tortor integer arcu nullam iaculis primis. Nunc per! Accumsan? Proin rhoncus, primis.",1,"Vel, laoreet, natoque. Ab et? Metus orci aenean. Ac, purus ante arcu.",3,2,4,3,3,2,3,5,4,3,2,2,5,"MC2B",4,3,1,2,4,2,2,0,0
28,"aa","MC_1","A B","MC_1 A B","reinforcement",NA,NA,NA,NA,NA,NA,NA,NA,6,7,3.16666666666667,2.5,3.5,8,2,2021-06-24 17:13:59,2021-06-24 17:13:59,2,NA,100,0,1,2021-06-24 17:13:59,NA,NA,NA,NA,57.6441955566406,11.9331970214844,"test",NA,"ultricies","vestibulum","consequat","malesuada",1,"Eu. Vestibulum! Ut rhoncus malesuada sodales placerat, ridiculus aenean magnis fringilla imperdiet atque et placerat.",1,"Platea accumsan dui interdum maecenas cursus. Tortor quam molestie interdum maecenas.",0.15,6.26,7.62,21,2,2,"Lacus consequat rhoncus dapibus? Potenti. Ultricies ab. Aliquam odio cursus per turpis. Eros vitae.",3.43,7.85,5.83,12,"At odio. Laoreet aliquam diam? Cras rutrum et fringilla lacus! Nec pharetra.",2,1,3,"Sed laoreet nullam. Ligula venenatis facilisis? Rhoncus laoreet? Nec faucibus blandit.",3,5,2,4,1,6,1,"Eleifend tortor integer arcu nullam iaculis primis. Nunc per! Accumsan? Proin rhoncus, primis.",1,"Vel, laoreet, natoque. Ab et? Metus orci aenean. Ac, purus ante arcu.",3,2,4,3,3,2,3,5,4,3,2,2,5,"MC2B",4,3,1,2,4,3,4,0,0
28,"aa","MC_1","A B","MC_1 A B","reinforcement",NA,NA,NA,NA,NA,NA,NA,NA,6,7,3.16666666666667,2.5,3.5,8,2,2021-06-24 17:13:59,2021-06-24 17:13:59,2,NA,100,0,1,2021-06-24 17:13:59,NA,NA,NA,NA,57.6441955566406,11.9331970214844,"test",NA,"ultricies","vestibulum","consequat","malesuada",1,"Eu. Vestibulum! Ut rhoncus malesuada sodales placerat, ridiculus aenean magnis fringilla imperdiet atque et placerat.",1,"Platea accumsan dui interdum maecenas cursus. Tortor quam molestie interdum maecenas.",0.15,6.26,7.62,21,2,2,"Lacus consequat rhoncus dapibus? Potenti. Ultricies ab. Aliquam odio cursus per turpis. Eros vitae.",3.43,7.85,5.83,12,"At odio. Laoreet aliquam diam? Cras rutrum et fringilla lacus! Nec pharetra.",2,1,3,"Sed laoreet nullam. Ligula venenatis facilisis? Rhoncus laoreet? Nec faucibus blandit.",3,5,2,4,1,6,1,"Eleifend tortor integer arcu nullam iaculis primis. Nunc per! Accumsan? Proin rhoncus, primis.",1,"Vel, laoreet, natoque. Ab et? Metus orci aenean. Ac, purus ante arcu.",3,2,4,3,3,2,3,5,4,3,2,2,5,"MC2B",4,3,1,2,4,4,4,1,1
